,player_position,average_rating,total_game_played,started_game_percentage,minute_per_game,goals_per_game,assist_per_game,dribbled_per_game,pourcentage passes,balls_recovered_per_game,possession_won,tackles_per_game,interception_per_game,clean_sheets,saves,goals_conceded,number_match_called_up,number_match_started,player_status,national_team,player_market_value,league_ranking,player_name_sofascore,player_name_transfer_market,player_team,player_league
1008,G,6.7,2.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,not-called-up,ukraine 2020,1.2,150.0,Denys Boyko,Denys Boyko,Dynamo Kyiv,Premier Liga
1009,G,6.73,3.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.0,0.79,0.36,line-up,wales 2020,6.5,25.0,Danny Ward,Danny Ward,Leicester,Championship
1010,G,7.5,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.86,0.64,called-up,wales 2020,2.4,1.0,Wayne Hennessey,Wayne Hennessey,Crystal Palace,Premier League
1011,G,6.9,28.0,1.0,88.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.65,1.12,0.0,0.0,not-called-up,denmark 2020,,25.0,Daniel Iversen,Daniel Iversen,Leicester,Championship
1012,G,6.95,35.0,1.0,88.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.36,0.85,0.62,0.08,called-up,turkey 2020,,9.0,Altay Bay?nd?r,Altay Bay?nd?r,Fenerbahce,Süper Lig
1013,G,6.71,36.0,1.0,89.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.75,0.97,0.0,0.0,not-called-up,turkey 2020,,9.0,Ersin Destano?lu,Ersin Destano?lu,Besiktas,Süper Lig
1014,G,6.99,26.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.6,1.5,0.0,0.0,not-called-up,croatia 2020,,112.0,Nediljko Labrovi?,Nediljko Labrovic,HNK Sibenik,Prva Nogometna Liga
1015,G,6.86,27.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.96,1.98,0.0,0.0,not-called-up,austria 2020,,109.0,Martin Fraisl,Martin Fraisl,ADO Den Haag,Keuken Kampioen Divisie
1016,G,6.88,8.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,1.4,0.0,0.0,not-called-up,england 2020,,25.0,Fraser Forster,Fraser Forster,Southampton,Championship
1017,G,6.27,3.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.0,0.0,0.0,not-called-up,netherlands 2020,,14.0,Kjell Scherpen,Kjell Scherpen,Ajax,Eredivisie
1018,G,6.96,33.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.1,0.0,0.0,not-called-up,netherlands 2020,,14.0,Remko Pasveer,Remko Pasveer,Vitesse,Eredivisie
1019,G,6.94,13.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.52,1.23,0.0,0.0,not-called-up,poland 2020,,6.0,Marcin Bu?ka,Marcin Bulka,Paris SG,Ligue 1
1020,G,7.14,10.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.1,1.7,0.0,0.0,not-called-up,sweden 2020,,35.0,Andreas Linde,Andreas Linde,Molde FK,Eliteserien
1021,G,7.08,38.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.2,0.9,0.92,0.38,line-up,turkey 2020,,9.0,U?urcan Çak?r,U?urcan Çak?r,Trabzonspor,Süper Lig
1022,G,7.01,28.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.2,1.3,0.0,0.0,not-called-up,turkey 2020,,9.0,Do?an Alemdar,Do?an Alemdar,Kayserispor,Süper Lig
